Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
Shinseiki Evangelion: Koutetsu no Girlfriend,SAT,1998.0,Adventure,0.0,0.0,0.11,0.0,,,
Split/Second,PSP,2010.0,Racing,0.08,0.02,0.0,0.02,63.0,6.7,E10+
Warhammer: Battle March,X360,2008.0,Strategy,0.09,0.02,0.0,0.01,55.0,6.7,M
Batman: Rise of Sin Tzu,XB,2003.0,Action,0.08,0.02,0.0,0.0,67.0,7.7,T
The King of Fighters XII,X360,2009.0,Fighting,0.09,0.0,0.01,0.01,63.0,4.2,T
Super Swing Golf Season 2,Wii,2007.0,Sports,0.08,0.0,0.03,0.01,70.0,tbd,E10+
Garfield's Fun Fest,DS,2008.0,Platform,0.07,0.03,0.0,0.01,44.0,tbd,E
Queen's Blade: Spiral Chaos,PSP,2009.0,Role-Playing,0.0,0.0,0.11,0.0,,,
Desktop Tower Defense,DS,2009.0,Strategy,0.1,0.0,0.0,0.01,,tbd,E
Jikkyou Powerful Pro Yakyuu '95,PS,1994.0,Sports,0.0,0.0,0.11,0.01,,,
Spy vs Spy,XB,2005.0,Action,0.08,0.02,0.0,0.0,53.0,8,T
Coraline,PS2,2009.0,Action,0.06,0.04,0.0,0.01,39.0,2,E10+
Sega Touring Car Championship,SAT,1996.0,Racing,0.0,0.0,0.11,0.0,,,
Cold Fear,PS2,2005.0,Action,0.06,0.04,0.0,0.01,68.0,7.7,M
Zangeki no Reginleiv,Wii,2010.0,Action,0.0,0.0,0.11,0.0,,,
Zubo,DS,2008.0,Misc,0.08,0.02,0.0,0.01,75.0,7.6,E10+
Daito Giken Koushiki Pachi-Slot Simulator: Hihouden,PS2,2006.0,Misc,0.0,0.0,0.11,0.0,,,
My SAT Coach with The Princeton Review,DS,2008.0,Misc,0.1,0.0,0.0,0.01,,,
NHL Hitz 20-03,XB,2002.0,Sports,0.08,0.02,0.0,0.0,81.0,8.5,E
Murakumo: Renegade Mech Pursuit,XB,2002.0,Shooter,0.04,0.01,0.06,0.0,48.0,7.5,T
The Hardy Boys: Treasure on the Tracks,DS,2009.0,Adventure,0.1,0.0,0.0,0.01,65.0,tbd,E
Gun Metal,XB,2002.0,Shooter,0.08,0.02,0.0,0.0,63.0,7.6,T
Funky Barn,3DS,2012.0,Simulation,0.07,0.03,0.0,0.01,,,
Transformer: Rise of the Dark Spark,PS3,2014.0,Action,0.04,0.04,0.01,0.02,,,
Cory in the House,DS,2007.0,Action,0.1,0.0,0.0,0.01,,9.5,E
Pro Yaky? Spirits 5,PS3,2008.0,Sports,0.0,0.0,0.11,0.0,,,
BloodRayne,GC,2002.0,Shooter,0.09,0.02,0.0,0.0,73.0,8.5,M
MotoGP 14 ,PS3,2014.0,Racing,0.05,0.05,0.0,0.02,,tbd,E
Metal Slug 4 & 5,PS2,2005.0,Shooter,0.05,0.04,0.0,0.01,,,
ECW Anarchy Rulz,PS,1999.0,Fighting,0.06,0.04,0.0,0.01,43.0,6.3,E
InuYasha: A Feudal Fairy Tale,PS,2002.0,Fighting,0.0,0.0,0.1,0.01,69.0,9,T
Where the Wild Things Are,X360,2009.0,Platform,0.1,0.0,0.0,0.01,51.0,5.4,E10+
Toukiden 2,PSV,2016.0,Action,0.0,0.0,0.11,0.0,,,
TMNT,PSP,2007.0,Action,0.1,0.0,0.0,0.01,37.0,4.1,E10+
J-League Winning Eleven 9: Asia Championship,PS2,2005.0,Sports,0.0,0.0,0.11,0.0,,,
Sabrina The Teenage Witch: Potion Commotion,GBA,2002.0,Action,0.08,0.03,0.0,0.0,63.0,2.8,E
Happy Feet Two,3DS,2011.0,Action,0.08,0.02,0.0,0.01,,,
Transformer: Rise of the Dark Spark,XOne,2014.0,Action,0.07,0.03,0.0,0.01,,,
Pocket Pets,DS,2007.0,Simulation,0.1,0.0,0.0,0.01,,,E
Pac-Man Pinball Advance,GBA,2005.0,Misc,0.08,0.03,0.0,0.0,52.0,tbd,E
Yu Yu Hakusho: Tournament Tactics,GBA,2004.0,Strategy,0.08,0.03,0.0,0.0,,6.8,E
Home Run King,GC,2002.0,Sports,0.09,0.02,0.0,0.0,66.0,tbd,E
To Heart 2: Dungeon Travelers,PSP,2011.0,Adventure,0.0,0.0,0.11,0.0,,,
WWE All Stars,PS2,2011.0,Fighting,0.05,0.04,0.0,0.01,,3.4,T
MLB Power Pros,PS2,2007.0,Sports,0.0,0.0,0.11,0.0,80.0,8.8,E
Dementium II,DS,2010.0,Shooter,0.09,0.01,0.0,0.01,75.0,8.3,M
Virtua Fighter CG Portrait Series Vol.1: Sarah Bryant,SAT,1995.0,Misc,0.0,0.0,0.11,0.0,,,
GoldenEye: Rogue Agent,DS,2005.0,Shooter,0.1,0.0,0.0,0.01,58.0,7.5,T
Kousoku Card Battle: Card Hero,DS,2007.0,Strategy,0.0,0.0,0.11,0.0,,,
BlazBlue: Calamity Trigger Portable,PSP,2010.0,Fighting,0.07,0.01,0.03,0.01,82.0,7.8,T
AirForce Delta Strike,PS2,2004.0,Simulation,0.05,0.04,0.0,0.01,66.0,7,T
Tokimeki Memorial: Girl's Side 2nd Season,DS,2008.0,Adventure,0.0,0.0,0.11,0.0,,,
Disney's Peter Pan: Return to Never Land,GBA,2002.0,Platform,0.08,0.03,0.0,0.0,,,
Pimp My Ride,Wii,2008.0,Racing,0.1,0.0,0.0,0.01,26.0,3.8,T
The Fairly Odd Parents: Breakin Da Rules,XB,2003.0,Platform,0.08,0.02,0.0,0.0,,,
Capcom vs. SNK 2 EO,GC,2002.0,Fighting,0.09,0.02,0.0,0.0,68.0,8.9,T
Hot Wheels Velocity X,GC,2002.0,Racing,0.09,0.02,0.0,0.0,55.0,6.4,E
Open Season,X360,2006.0,Platform,0.1,0.0,0.0,0.01,59.0,7.3,E10+
Akiba's Trip: Undead & Undressed,PS3,2013.0,Action,0.05,0.01,0.04,0.01,,,
de Blob 2,DS,2011.0,Platform,0.08,0.02,0.0,0.01,75.0,8.2,E
Call of Juarez: The Cartel,PC,2011.0,Shooter,0.05,0.05,0.0,0.01,51.0,3.3,M
Fabulous Finds,DS,2009.0,Puzzle,0.1,0.0,0.0,0.01,,tbd,E
Let's Play Garden,DS,2010.0,Simulation,0.1,0.0,0.0,0.01,,tbd,E
EA Replay,PSP,2006.0,Action,0.1,0.0,0.0,0.01,56.0,tbd,T
Contra Advance: The Alien Wars EX,GBA,2002.0,Shooter,0.08,0.03,0.0,0.0,70.0,tbd,E
Jake Hunter Detective Story: Memories of the Past,DS,2007.0,Adventure,0.06,0.0,0.05,0.0,72.0,tbd,T
Escape The Museum,Wii,2009.0,Adventure,0.1,0.01,0.0,0.01,,tbd,E
LEGO Ninjago: Shadow of Ronin,PSV,2015.0,Action,0.01,0.08,0.0,0.02,70.0,tbd,E10+
Space Chimps,X360,2008.0,Platform,0.1,0.0,0.0,0.01,57.0,5.3,E10+
FIFA Soccer 06,PSP,2005.0,Sports,0.1,0.0,0.0,0.01,77.0,7.7,E
JASF: Jane's Advanced Strike Fighters,PS3,2011.0,Simulation,0.07,0.03,0.0,0.01,41.0,3.1,T
The History Channel: Battle for the Pacific,Wii,2007.0,Shooter,0.1,0.0,0.0,0.01,,5.3,T
Army Men: RTS,PS2,2002.0,Strategy,0.05,0.04,0.0,0.01,68.0,tbd,T
Mobile Suit Gundam: MS Sensen 0079,Wii,2007.0,Simulation,0.0,0.0,0.11,0.0,,,
Digimon Story: Cyber Sleuth,PS4,2016.0,Role-Playing,0.0,0.1,0.0,0.02,75.0,8.5,T
Cloudy With a Chance of Meatballs,Wii,2009.0,Platform,0.1,0.0,0.0,0.01,68.0,5.3,E
The Settlers,DS,2007.0,Action,0.1,0.0,0.0,0.01,39.0,5.6,E
Stronghold,PC,2001.0,Strategy,0.0,0.09,0.0,0.02,81.0,8.9,T
NCIS 3D,3DS,2011.0,Adventure,0.06,0.04,0.0,0.01,,tbd,T
Shin Kamaitachi no Yoru: 11 Hitome no Suspect,PS3,2011.0,Adventure,0.0,0.0,0.11,0.0,,,
Ridge Racer Unbounded,X360,2012.0,Racing,0.05,0.05,0.0,0.01,71.0,7.7,T
Family Game Night 4: The Game Show,PS3,2011.0,Misc,0.08,0.02,0.0,0.01,,tbd,E
Mortal Kombat: Deception,GC,2005.0,Fighting,0.09,0.02,0.0,0.0,77.0,8.9,M
ESPN NHL Hockey,XB,2003.0,Sports,0.08,0.02,0.0,0.0,88.0,8.4,E
Monster Lab,PS2,2008.0,Role-Playing,0.05,0.04,0.0,0.01,,tbd,E10+
Yard Sale Hidden Treasures: Sunnyville,DS,2010.0,Puzzle,0.1,0.0,0.0,0.01,,tbd,E10+
John Daly's ProStroke Golf,PS3,2010.0,Sports,0.09,0.01,0.0,0.01,58.0,4.1,E
XXX,GBA,2002.0,Action,0.08,0.03,0.0,0.0,50.0,5,E
Maximum Force,PS,1997.0,Shooter,0.06,0.04,0.0,0.01,,,
Get Up and Dance,Wii,2011.0,Misc,0.06,0.04,0.0,0.01,,tbd,T
Truth or Lies,X360,2010.0,Misc,0.07,0.03,0.0,0.01,28.0,5.2,T
Worms Forts: Under Siege,PS2,2004.0,Strategy,0.05,0.04,0.0,0.01,63.0,8,T
Guitar Rock Tour,DS,2007.0,Misc,0.1,0.0,0.0,0.01,60.0,tbd,E10+
Puzzler World 2,DS,2010.0,Puzzle,0.02,0.07,0.0,0.02,,tbd,E
Project: Snowblind,XB,2005.0,Action,0.08,0.02,0.0,0.0,79.0,7,T
Astro Boy: The Video Game,PS2,2009.0,Action,0.05,0.04,0.0,0.01,56.0,5,E10+
Gabrielle's Ghostly Groove 3D,3DS,2011.0,Adventure,0.08,0.02,0.0,0.01,62.0,7.4,E
Surf's Up,PSP,2007.0,Sports,0.02,0.06,0.0,0.03,,tbd,E10+
Brave Story: New Traveler (US sales),PSP,2006.0,Role-Playing,0.11,0.0,0.0,0.0,,,
Cake Mania,DS,2007.0,Puzzle,0.09,0.01,0.0,0.01,55.0,6.1,E
Disney's Extreme Skate Adventure,XB,2003.0,Sports,0.08,0.02,0.0,0.0,76.0,8.3,E
Tales of Phantasia (PS1 & PSP Versions),PSP,2006.0,Role-Playing,0.0,0.0,0.11,0.0,,,
Kouchuu Ouja Mushi King: Super Collection,DS,2007.0,Action,0.0,0.0,0.11,0.0,,,
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,GC,2003.0,Action,0.09,0.02,0.0,0.0,,,
Nickelodeon Dance,X360,2011.0,Misc,0.08,0.02,0.0,0.01,,tbd,E
Pac-Man World 2,GBA,2005.0,Action,0.08,0.03,0.0,0.0,,6,E
Odama,GC,2006.0,Misc,0.07,0.02,0.02,0.0,62.0,8,E10+
PriPara Mezase! Idol Grand Prix No.1!,3DS,2015.0,Misc,0.0,0.0,0.11,0.0,,,
Karaoke Revolution Presents American Idol Encore,X360,2008.0,Misc,0.1,0.0,0.0,0.01,70.0,7,E
Mobile Light Force 2,PS2,2002.0,Shooter,0.05,0.04,0.0,0.01,59.0,tbd,E
Naval Ops: Warship Gunner,PS2,2003.0,Simulation,0.05,0.04,0.0,0.01,67.0,8.9,T
Soma Bringer,DS,2008.0,Role-Playing,0.0,0.0,0.11,0.0,,,
Paws & Claws Pet Vet: Australian Adventures,DS,2009.0,Simulation,0.1,0.0,0.0,0.01,,,
Shin Sangoku Musou 6 Special,PSP,2011.0,Action,0.0,0.0,0.11,0.0,,,
Go! Sudoku (JP sales),PSP,2005.0,Puzzle,0.0,0.0,0.11,0.0,,,
Bionicle Heroes,GC,2006.0,Shooter,0.08,0.02,0.0,0.0,51.0,5.2,E10+
The King of Fighters 2000/2001,PS2,2003.0,Fighting,0.05,0.04,0.0,0.01,71.0,8.6,T
Valkyrie Drive: Bhikkhuni,PSV,2015.0,Action,0.0,0.03,0.07,0.01,72.0,8.5,M
Top Gear Rally 2,N64,1999.0,Racing,0.09,0.02,0.0,0.0,,,
Chopper Attack,N64,1997.0,Action,0.09,0.02,0.0,0.0,,,
Vigilante 8: 2nd Offense,N64,2000.0,Racing,0.09,0.02,0.0,0.0,,,
Fighting Force 64,N64,1999.0,Action,0.09,0.02,0.0,0.0,,,
Lunacy,SAT,1996.0,Adventure,0.0,0.0,0.11,0.0,,,
Snowboard Kids 2,N64,1999.0,Sports,0.09,0.02,0.0,0.0,,,
Batman & Robin,PS,1998.0,Action,0.06,0.04,0.0,0.01,,,
Tonic Trouble,N64,1999.0,Platform,0.09,0.02,0.0,0.0,,,
Nuclear Strike 64,N64,1999.0,Simulation,0.09,0.02,0.0,0.0,,,
Chameleon Twist,N64,1997.0,Platform,0.09,0.02,0.0,0.0,,,
DualPenSports,3DS,2011.0,Sports,0.05,0.05,0.0,0.01,58.0,tbd,E10+
Grease,DS,2010.0,Misc,0.1,0.0,0.0,0.01,,tbd,E10+
The King of Fighters Collection: The Orochi Saga,Wii,2008.0,Fighting,0.1,0.0,0.0,0.01,70.0,tbd,T
The Spiderwick Chronicles,X360,2008.0,Action,0.09,0.01,0.0,0.01,59.0,tbd,E10+
Bodycount,PS3,2011.0,Shooter,0.05,0.05,0.0,0.02,50.0,3.5,M
Street Fighter Collection,SAT,1996.0,Fighting,0.0,0.0,0.11,0.0,,,
Ninja Assault,PS2,2002.0,Shooter,0.05,0.04,0.0,0.01,60.0,5.3,T
Samurai Warriors 4,PSV,2014.0,Action,0.0,0.0,0.11,0.0,76.0,8.6,T
Winter Stars,Wii,2011.0,Sports,0.05,0.05,0.0,0.01,,tbd,E
Hasbro Family Game Night Fun Pack,Wii,2011.0,Misc,0.1,0.0,0.0,0.01,,tbd,E
Planet 51,PS3,2009.0,Action,0.07,0.03,0.0,0.01,50.0,tbd,E
GunGriffon Blaze,PS2,2000.0,Simulation,0.05,0.04,0.0,0.01,73.0,tbd,T
Frontier Gate,PSP,2011.0,Role-Playing,0.0,0.0,0.11,0.0,,,
Higurashi no Naku Koro ni Matsuri,PS2,2007.0,Adventure,0.0,0.0,0.11,0.0,,,
Army Men: Soldiers of Misfortune,DS,2008.0,Shooter,0.1,0.0,0.0,0.01,35.0,tbd,E
Top Angler: Real Bass Fishing,PS2,2002.0,Sports,0.05,0.04,0.0,0.01,,,
Eragon,PSP,2006.0,Action,0.1,0.0,0.0,0.01,59.0,tbd,T
Breakout,PS,1999.0,Puzzle,0.06,0.04,0.0,0.01,,tbd,E
AKB48+Me,3DS,2012.0,Action,0.0,0.0,0.11,0.0,,,
Alias,PS2,2004.0,Action,0.05,0.04,0.0,0.01,64.0,8,T
Sakura Taisen Hanagumi Tsuushin,SAT,1997.0,Misc,0.0,0.0,0.11,0.0,,,
Famicom Mini: Famicom Tantei Club - Kieta Koukeisha Zenkouhen,GBA,2004.0,Adventure,0.0,0.0,0.11,0.0,,,
Calling,Wii,2009.0,Adventure,0.06,0.04,0.0,0.01,49.0,6.7,T
Yomawari,PSV,2015.0,Adventure,0.02,0.02,0.06,0.01,,,
Night at the Museum: Battle of the Smithsonian,X360,2009.0,Action,0.07,0.03,0.0,0.01,50.0,7.1,E10+
Pinball Hall of Fame: The Williams Collection,PSP,2008.0,Misc,0.09,0.01,0.0,0.01,78.0,tbd,E10+
Spyborgs,Wii,2009.0,Action,0.09,0.01,0.0,0.01,66.0,6.3,T
ESA Game Pack,PS3,2010.0,Misc,0.1,0.0,0.0,0.01,,tbd,T
Outlaw Golf: Nine Holes of Christmas,XB,2002.0,Sports,0.08,0.02,0.0,0.0,,,
Invizimals: The Lost Tribes,PSP,2011.0,Action,0.0,0.08,0.0,0.03,,tbd,
NHL Rivals 2004,XB,2003.0,Sports,0.08,0.02,0.0,0.0,65.0,8.8,E
Bodycount,X360,2011.0,Shooter,0.07,0.03,0.0,0.01,53.0,4.7,M
X-Men: Next Dimension,XB,2002.0,Fighting,0.08,0.02,0.0,0.0,56.0,tbd,T
Tyco RC: Assault with a Battery,PS,1999.0,Racing,0.06,0.04,0.0,0.01,,,
Felony 11-79,PS,1997.0,Racing,0.06,0.04,0.0,0.01,,,
Machinarium,PC,2009.0,Adventure,0.0,0.09,0.0,0.02,85.0,8.8,
Avatar: The Last Airbender,PSP,2006.0,Adventure,0.1,0.0,0.0,0.01,57.0,6.3,E10+
Death Jr.: Root of Evil,Wii,2008.0,Platform,0.1,0.0,0.0,0.01,71.0,8.1,T
Classic Road,SNES,1993.0,Sports,0.0,0.0,0.11,0.0,,,
Panzer Dragoon Saga,SAT,1997.0,Role-Playing,0.0,0.0,0.11,0.0,,,
Michael Phelps: Push the Limit,X360,2011.0,Sports,0.09,0.01,0.0,0.01,48.0,3.5,E
Nicktoons: Unite!,DS,2006.0,Adventure,0.1,0.0,0.0,0.01,,,
Lost in Blue,DS,2005.0,Adventure,0.07,0.02,0.02,0.01,69.0,7.8,E10+
Wasteland 2,PS4,2015.0,Role-Playing,0.08,0.0,0.02,0.02,,,
Smash Court Tennis 3,X360,2007.0,Sports,0.08,0.02,0.0,0.01,55.0,tbd,E
Batman: Return to Arkham,XOne,2016.0,Action,0.05,0.05,0.0,0.01,77.0,8.2,T
The Scorpion King: Rise of the Akkadian,GC,2002.0,Action,0.08,0.02,0.0,0.0,49.0,tbd,T
Shining Ark,PSP,2013.0,Role-Playing,0.0,0.0,0.11,0.0,,,
Transformers: Beast Wars Transmetals,PS,2000.0,Fighting,0.06,0.04,0.0,0.01,,,
GiFTPiA,GC,,Role-Playing,0.0,0.0,0.11,0.0,,,
My Little Sister Can't Be This Cute Portable,PSP,2012.0,Action,0.0,0.0,0.11,0.0,,,
Backyard NFL Football '10,X360,2009.0,Sports,0.1,0.0,0.0,0.01,,,
Constantine,PS2,2005.0,Action,0.05,0.04,0.0,0.01,58.0,7.4,M
Charlie and the Chocolate Factory,XB,2005.0,Adventure,0.08,0.02,0.0,0.0,39.0,0.5,E
Dynasty Tactics 2,PS2,2003.0,Strategy,0.05,0.04,0.0,0.01,78.0,9.1,T
Real World Golf,PS2,2005.0,Sports,0.05,0.04,0.0,0.01,73.0,6.3,E
Winter Heat,SAT,1996.0,Sports,0.0,0.0,0.11,0.0,,,
Ty the Tasmanian Tiger 2: Bush Rescue,XB,2004.0,Platform,0.08,0.02,0.0,0.0,69.0,8.8,E
Hole in the Wall: Deluxe Edition,X360,2011.0,Misc,0.1,0.0,0.0,0.01,,tbd,E
Defender,GC,2002.0,Misc,0.08,0.02,0.0,0.0,66.0,tbd,T
Blazblue: Continuum Shift Extend,PSV,2011.0,Fighting,0.03,0.05,0.02,0.02,83.0,7.5,T
4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,DS,2005.0,Misc,0.1,0.0,0.0,0.01,,,
Mushroom Men: Rise of the Fungi,DS,2008.0,Action,0.1,0.0,0.0,0.01,45.0,7.3,E
The Polar Express,GC,2004.0,Adventure,0.08,0.02,0.0,0.0,40.0,4.7,E
BMX XXX,XB,2002.0,Sports,0.08,0.02,0.0,0.0,58.0,7.8,M
ATV: Quad Frenzy,DS,2005.0,Racing,0.1,0.0,0.0,0.01,35.0,tbd,E
Touch Detective 2 1/2,DS,2007.0,Adventure,0.09,0.0,0.01,0.01,67.0,tbd,E
Animal Planet: Vet Life,DS,2009.0,Simulation,0.1,0.0,0.0,0.01,,tbd,E
Frogger: Helmet Chaos,PSP,2005.0,Platform,0.1,0.0,0.0,0.01,66.0,6.4,E
Picross 3D 2,3DS,2015.0,Puzzle,0.0,0.0,0.11,0.0,,,
Pimp My Ride,X360,2006.0,Racing,0.1,0.0,0.0,0.01,38.0,3.8,T
Lady Sia,GBA,2001.0,Platform,0.08,0.03,0.0,0.0,73.0,tbd,E
Rock Band: Metal Track Pack,PS2,2009.0,Misc,0.05,0.04,0.0,0.01,,tbd,T
Robotech: Invasion,PS2,2004.0,Shooter,0.05,0.04,0.0,0.01,57.0,tbd,T
Vacation Sports,Wii,2009.0,Sports,0.09,0.01,0.0,0.01,,tbd,E
PDC World Championship Darts: Pro Tour,Wii,2010.0,Sports,0.0,0.09,0.0,0.01,,,
Hollywood Squares,Wii,2010.0,Misc,0.1,0.0,0.0,0.01,,tbd,E10+
Dr. Seuss' The Cat in the Hat,XB,2003.0,Misc,0.08,0.02,0.0,0.0,56.0,tbd,E
Irozuki Tingle no Koi no Balloon Trip,DS,2009.0,Adventure,0.0,0.0,0.11,0.0,,,
Silly Bandz: Play The Craze,DS,2010.0,Puzzle,0.1,0.0,0.0,0.01,,,
RIGS: Mechanized Combat League,PS4,2016.0,Action,0.03,0.05,0.01,0.02,79.0,7.9,T
Final Fantasy I & II,NES,1994.0,Role-Playing,0.0,0.0,0.11,0.0,,,
Starsky & Hutch,GC,2003.0,Racing,0.08,0.02,0.0,0.0,,,
Hellboy: The Science of Evil,X360,2008.0,Action,0.1,0.0,0.0,0.01,44.0,5.7,T
Langrisser IV,SAT,1997.0,Strategy,0.0,0.0,0.11,0.0,,,
ATV Quad Kings,DS,2010.0,Racing,0.1,0.0,0.0,0.01,47.0,tbd,E
FoxKids.com Micro Maniacs Racing,PS,2000.0,Racing,0.06,0.04,0.0,0.01,,,
Hexen: Beyond Heretic,PS,1997.0,Shooter,0.06,0.04,0.0,0.01,,,
NBA Live 16,XOne,2015.0,Sports,0.09,0.01,0.0,0.01,60.0,5.6,E
Arcade Party Pak,PS,1999.0,Misc,0.06,0.04,0.0,0.01,,,
Deus Ex: Human Revolution,WiiU,2013.0,Shooter,0.05,0.05,0.0,0.01,,,
Sonic Generations,PC,2011.0,Platform,0.02,0.07,0.0,0.02,77.0,8.3,E
Kotoba no Puzzle: Mojipittan Daijiten,PSP,2004.0,Puzzle,0.0,0.0,0.11,0.0,,,
Yamaha Supercross,DS,2009.0,Racing,0.1,0.0,0.0,0.01,,tbd,E
Hitman Trilogy,PS2,2007.0,Action,0.05,0.04,0.0,0.01,,tbd,M
Dragon Quest & Final Fantasy in Itadaki Street Portable,PSP,2006.0,Misc,0.0,0.0,0.11,0.0,,,
Astro Boy: The Video Game,Wii,2009.0,Action,0.1,0.0,0.0,0.01,48.0,3.5,E10+
Railroad Tycoon II,PS,1999.0,Strategy,0.06,0.04,0.0,0.01,,,
The Cheetah Girls: Pop Star Sensations,DS,2007.0,Misc,0.1,0.0,0.0,0.01,,tbd,E
Kirarin * Revolution: Kira Kira Idol Audition,DS,2006.0,Simulation,0.0,0.0,0.11,0.0,,,
Rock Band: Metal Track Pack,Wii,2009.0,Misc,0.1,0.0,0.0,0.01,,tbd,T
Ranma 1/2: Akanekodan Teki Hihou,SNES,1993.0,Role-Playing,0.0,0.0,0.11,0.0,,,
Grand Theft Auto: San Andreas,X360,2008.0,Action,0.08,0.02,0.0,0.01,,7.5,M
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,X360,2011.0,Action,0.07,0.03,0.0,0.01,,,
Planet 51,X360,2009.0,Action,0.07,0.03,0.0,0.01,53.0,tbd,E
The BIGS,PSP,2007.0,Sports,0.1,0.0,0.0,0.01,72.0,tbd,E
[Prototype 2],PC,2012.0,Action,0.07,0.03,0.0,0.01,76.0,6.4,M
Zombie Army Trilogy,XOne,2015.0,Shooter,0.05,0.05,0.0,0.01,62.0,7.2,
Happy Feet Two,PS3,,Action,0.09,0.0,0.0,0.01,,,
Victory Zone,PS,1995.0,Misc,0.0,0.0,0.1,0.01,,,
Cabela's North American Adventures,X360,2010.0,Sports,0.1,0.0,0.0,0.01,51.0,9,T
Rengoku: The Tower of Purgatory,PSP,2005.0,Action,0.1,0.0,0.0,0.01,43.0,5.6,M
Cabela's Adventure Camp,PS3,2011.0,Misc,0.06,0.03,0.0,0.02,,tbd,E
Goal Storm '97,PS,1996.0,Sports,0.01,0.0,0.09,0.01,,,
Paws & Claws: Pet Resort,Wii,2009.0,Simulation,0.1,0.0,0.0,0.01,,,
Bust-A-Move DS,DS,2005.0,Puzzle,0.08,0.02,0.0,0.01,75.0,7,E
Dynasty Warriors Advance,GBA,2005.0,Action,0.08,0.03,0.0,0.0,56.0,tbd,E
God Eater 2: Rage Burst,PS4,2015.0,Role-Playing,0.0,0.01,0.09,0.0,69.0,8,T
Pachi-Slot Aruze Oukoku 3,PS,2000.0,Misc,0.0,0.0,0.1,0.01,,,
Tournament Pool,Wii,2009.0,Sports,0.1,0.0,0.0,0.01,,tbd,E
Rock Band Track Pack: Classic Rock,PS3,2009.0,Misc,0.1,0.0,0.0,0.01,,tbd,T
Aqua Aqua,PS2,2000.0,Puzzle,0.05,0.04,0.0,0.01,79.0,tbd,E
BlazBlue: Continuum Shift II,3DS,2011.0,Fighting,0.05,0.01,0.04,0.01,64.0,6.1,T
Cats & Dogs: The Revenge of Kitty Galore,DS,2010.0,Action,0.1,0.0,0.0,0.01,,,
Mega Man Zero 4,GBA,2005.0,Platform,0.08,0.03,0.0,0.0,77.0,9.1,E
NASCAR '14,PS3,2014.0,Racing,0.09,0.0,0.0,0.02,67.0,4.6,E
Where the Wild Things Are,PS3,2009.0,Platform,0.09,0.01,0.0,0.01,53.0,4.8,E10+
Black Bass with Blue Marlin,PS,1999.0,Sports,0.06,0.04,0.0,0.01,,,
DJ Max Fever,PSP,2009.0,Misc,0.09,0.0,0.0,0.01,77.0,6.5,T
Mega Man Battle Network 5: Double Team DS (JP sales),DS,2005.0,Role-Playing,0.0,0.0,0.11,0.0,,,
Shrek: Forever After,X360,2010.0,Platform,0.1,0.0,0.0,0.01,62.0,6.2,E10+
My Boyfriend,DS,2008.0,Simulation,0.1,0.0,0.0,0.01,,tbd,E10+
Utawarerumono: Chiriyukusha e no Komoriuta,PS2,2006.0,Adventure,0.0,0.0,0.11,0.0,,,
Dawn of Discovery,DS,2009.0,Simulation,0.07,0.03,0.0,0.01,82.0,7.3,E
Pro Evolution Soccer 2016,XOne,2015.0,Sports,0.04,0.06,0.0,0.01,85.0,6.2,E
Hyper Formation Soccer,PS,1995.0,Sports,0.0,0.0,0.1,0.01,,,
Tiger Woods PGA Tour 06,GC,2005.0,Sports,0.08,0.02,0.0,0.0,82.0,4.8,E
Jupiter Strike,PS,1994.0,Shooter,0.06,0.04,0.0,0.01,,,
Totally Spies! Totally Party,Wii,2008.0,Misc,0.09,0.01,0.0,0.01,,,
Sudokuro,DS,2007.0,Puzzle,0.1,0.0,0.0,0.01,,tbd,E
ArmA III,PC,2013.0,Shooter,0.0,0.1,0.0,0.01,74.0,7.4,M
Saigo no Yakusoku no Monogatari,PSP,2011.0,Role-Playing,0.0,0.0,0.11,0.0,,,
Metal Gear Solid Integral,PS,1999.0,Adventure,0.0,0.0,0.1,0.01,,,
Tetris Evolution,X360,2007.0,Puzzle,0.08,0.02,0.0,0.01,52.0,tbd,E
Green Lantern: Rise of the Manhunters,DS,2011.0,Action,0.07,0.02,0.0,0.01,,tbd,E10+
FIFA World Cup Germany 2006,PSP,2006.0,Sports,0.1,0.0,0.0,0.01,72.0,7.3,E
Fit in Six,Wii,2011.0,Sports,0.1,0.0,0.0,0.01,,tbd,E
Reign of Fire,GC,2002.0,Shooter,0.08,0.02,0.0,0.0,54.0,5.9,T
Naruto Shippuden: Naruto vs. Sasuke,DS,2008.0,Action,0.07,0.0,0.03,0.0,64.0,tbd,E10+
MLB 14: The Show,PSV,2014.0,Sports,0.08,0.0,0.0,0.03,68.0,7,E
Rogue Warrior,X360,2009.0,Shooter,0.09,0.01,0.0,0.01,28.0,2.8,M
Sniper Elite,Wii,2010.0,Shooter,0.07,0.02,0.0,0.01,71.0,tbd,M
Tales of the World: Reve Unitia,3DS,2014.0,Role-Playing,0.0,0.0,0.11,0.0,,,
Sakura Wars,DC,2000.0,Adventure,0.0,0.0,0.11,0.0,,,
Jampack Volume 14 (RP-T),PS2,2006.0,Misc,0.05,0.04,0.0,0.01,,,
Pro Yakyuu Team o Tsukurou! 2,DS,2009.0,Sports,0.0,0.0,0.11,0.0,,,
